ticker,name,market_cap,sector,industry,website,employees,price,sma50,sma200,disparity_200,rsi14,rsi14_prev,rsi14_min_10,bb_upper,bb_lower,vol_ratio,tenkan,kijun,cloud_top,cloud_bot,c1_below_sma200,c4_bb_signal,c5_volume,c6a_tenkan_cross,c6b_below_cloud,c6c_cloud_breakout,c6d_inside_cloud,shares
AMD,Advanced Micro Devices,453870012686.0,Technology,Semiconductors,https://www.amd.com,31000.0,278.39,212.135,202.452,37.509,80.202,80.172,58.966,277.22,176.227,0.99,248.215,236.66,227.59,209.575,False,False,False,False,False,False,False,1630338779
JBHT,J.B. Hunt,23110798920.0,Industrials,Integrated Freight & Logistics,https://www.jbhunt.com,31750.0,245.08,218.829,178.226,37.511,74.282,70.676,57.847,241.709,193.341,1.344,232.145,220.945,221.215,214.577,False,False,False,False,False,False,False,94299000
FDX,FedEx,93624518919.0,Industrials,Integrated Freight & Logistics,https://www.fedex.com,300000.0,392.38,367.073,282.745,38.775,67.815,62.499,50.094,387.588,338.919,1.175,373.86,367.055,367.369,338.931,False,False,False,False,False,False,False,238606756
APA,APA Corporation,12630530796.0,Energy,Oil & Gas E&P,https://www.apacorp.com,1791.0,35.74,34.541,25.726,38.925,42.877,49.687,42.877,45.222,35.389,1.167,38.855,39.28,30.58,28.405,False,False,False,False,False,False,False,353400414
JBL,Jabil,33939138471.0,Technology,Electronic Components,https://www.jabil.com,135000.0,321.69,267.544,231.134,39.179,72.939,69.16,53.154,322.178,240.566,1.233,294.75,281.37,253.25,248.151,False,False,False,False,False,False,False,105502622
CAT,Caterpillar Inc.,369740578374.0,Industrials,Farm & Heavy Construction Machinery,https://www.caterpillar.com,118000.0,794.65,733.611,568.211,39.851,64.549,59.963,53.568,819.221,656.651,1.171,755.35,733.17,717.81,680.262,False,False,False,False,False,False,False,465287332
FCX,Freeport-McMoRan,100905924757.0,Basic Materials,Copper,https://fcx.com,29000.0,70.21,62.005,49.648,41.415,70.343,66.976,54.082,72.814,50.293,1.225,65.129,60.694,62.283,60.01,False,False,False,False,False,False,False,1437201606
DELL,Dell Technologies,62573291434.0,Technology,Computer Hardware,https://www.dell.com,97000.0,196.55,151.554,136.908,43.564,66.646,65.182,57.215,196.79,157.227,0.68,184.78,171.955,138.688,131.97,False,False,False,False,False,False,False,318358135
GEV,GE Vernova,269595559564.0,Industrials,Specialty Industrial Machinery,https://www.gevernova.com,78000.0,1002.75,866.662,680.669,47.318,69.199,65.855,57.694,1030.115,812.467,0.949,944.345,905.882,818.065,755.563,False,False,False,False,False,False,False,268856205
ON,ON Semiconductor,32650100667.0,Technology,Semiconductors,https://www.onsemi.com,22600.0,83.01,65.21,56.31,47.417,81.347,78.976,54.795,79.694,52.008,1.866,72.715,69.275,63.63,62.765,False,False,True,False,False,False,False,393327318
